"","site","date","temperature (degrees C)","Spec_Cond (mS)","DO_sat (% sat)","DO (mg/L)","pH (pH)","ORP (mV)","Turbidity (NTU)","Chlor (ug/L)","SSC (mg/L)","Alkalinity (mg CaCO3/L)","DOC_R5 (mg/L)","DOC_Awberc (mg/L)","TOC_R5 (mg/L)","TOC_Awberc (mg/L)","Fluoride (mg/L)","Chloride (mg/L)","Bromide (mg/L)","Nitrate (mg/L)","Orthophosphate (mg/L)","Sulfate (mg/L)","Ammoniacal_nitrogen (mg/L)","DIN (mg/L)","TKN (mg/L)","TDP (mg/L)","TP (mg/L)","Aluminum_dissolved","Calcium (mg/L)","Copper_dissolved (ug/L)","Iron_dissolved (mg/L)","Magnesium (mg/L)","Manganese_dissolved (mg/L)","Potassium (mg/L)","Sodium (mg/L)","Zinc_dissolved (ug/L)","Aluminum_total (mg/L)","Copper_total (mg/L)","Iron_total (mg/L)","Manganese_total (mg/L)","Zinc_total (ug/L)","Flow_condition"
"450","PWR",2008-02-26 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,"24.98725","98",3.9,NA,"5.2",NA,NA,69.8,"nd","4.06","0.41",26.5,"0.17","1","0.745","0.14","0.19","nd","43.1","2.5","0.0412",5.22,"0.0069","1.67",39.5,"14.8","0.882","4.17","0.964","0.0423","23.4","Storm"
"451","PWR",2008-02-26 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,"25.06812",NA,4.7,NA,"5.6",NA,NA,77.9,"0.0350","5.83","0.2200",49.2,"0.1200","1.3200","0.874","0.08","0.17","nd","70.2","4.2000","0.0246",9.64,"0.0275","2.0600",42.2,"19.1000","0.3530","2.9600","0.423","0.0575","25.4000","Storm"
"452","PWR",2008-03-27 02:00:00,"9.9","0.407",101.1,11.43,8.01,-47,91.4,6.6,"38.07471","150",6.4,NA,"12",NA,NA,511,"0.069","8.43","nd",63.7,"0.4","1.86","1.3","0.18","0.21","0.0671","48.5","3.9","0.0728",7.09,"0.032","1.87",20.5,"6.8","1.33","30.6","1.32","0.0659","42.4","Storm"
"453","PWR",2008-03-27 03:30:00,"9.19","0.37",100.6,11.56,7.99,-45,48.5,6.7,"28.05787","50",7.3,NA,"3.3",NA,NA,70.2,"nd","2.18","0.26",14.8,"0.19","0.48","0.818","0.29","0.23","0.059","34.9","3.2","0.0747",4.71,"0.0136","1.92",14.4,"5.5","1.24","6.27","1.37","0.0455","22.2","Storm"
"454","PWR",2008-03-27 05:00:00,"8.46","0.228",102,11.94,7.93,-46,78.1,8.2,"102.67470","59",14.5,NA,"4.3",NA,NA,25.4,"nd","1.95","0.52",14.5,"0.2","0.42","1.29","0.13","0.5","0.069","82.9","21.9","0.0396",12.5,"0.0223","2.84",320,"17","2.75","8.2","3.17","0.13","27.3","Storm"
"455","PWR",2008-03-27 06:30:00,"8.54","0.352",100.8,11.77,7.97,-65,53.7,8,"79.14339","93",4.5,NA,"5.6",NA,NA,22.2,"nd","3.56","0.7",22.3,"0.2","0.74","1.27","0.13","0.53","0.0515","19.1","3.6","0.0213",2.41,"0.0054","1.8",46.1,"5","2.42","7.28","3.17","0.168","16.3","Storm"
"456","PWR",2008-03-28 09:30:00,"8.76","0.392",100.5,11.67,7.99,-68,48.7,7.2,NA,"110",4.8,NA,"5.3",NA,NA,31.4,"nd","4.48","nd",33.3,"0.17","0.96","0.895","0.24","0.33","0.063","22.2","3.1","0.0493",2.85,"0.0043","1.37",18.2,"5.5","2.09","6.02","2.14","0.11","16.3","Storm"
"457","PWR",2008-04-28 18:30:00,"13.83","0.183",95,9.82,7.92,-54,40.1,5.7,"39.08286","51",6.4,NA,"10.1",NA,NA,20,"nd","6.09","0.28",14.9,"0.86","0.63","1.71","0.12","0.26","nd","18.9","6.3","0.0436",2.37,"0.0064","1.61",14.8,"7.6","0.644","12.5","0.994","0.0639","34.6","Storm"
"458","PWR",2008-04-28 20:00:00,"12.86","0.239",93.8,9.91,7.96,-51,25.8,4,"29.71768","76",4.3,NA,"7.2",NA,NA,31,"nd","4.08","0.24",21.7,"0.42","0.77","1.11","0.16","0.19","nd","30.1","4.5","0.0378",4.16,"0.0058","1.61",22.2,"5.8","0.784","5.42","1.1","0.0617","12.9","Storm"
"459","PWR",2008-04-28 21:30:00,"12.14","0.59",89.7,9.62,8.02,-50,32.5,3.6,"48.18042","190",4.7,NA,"7.1",NA,NA,48.2,"0.043","4.11","0.3",61.7,"0.09","0.84","0.515","0.15","0.27","0.256","79.7","3","0.418",13.9,"0.0348","2.37",27.3,"9.3","1.28","5.29","1.85","0.118","11.7","Storm"
"460","PWR",2008-04-28 23:00:00,"11.91","0.527",90.1,9.72,8,-52,29.6,4.9,"24.30556","160",4.5,NA,"7.1",NA,NA,52.3,"0.037","4.96","0.29",53,"0.09","0.96","0.536","0.13","0.19","nd","67.5","2.9","0.0192",11.3,"0.0076","2.35",33,"nd","0.72","5.48","1.04","0.0657","7.93","Storm"
"461","PWR",2008-04-29 05:00:00,"10.68","0.672",92.5,10.26,8.13,-45,22,2.7,"48.41150","190",4.4,NA,"7.4",NA,NA,48.2,"0.044","4.01","0.3",62.4,"nd","0.82","0.57","0.11","0.26","0.0452","84.2","4.5","0.035",15.2,"0.01","2.45",27.9,"8.8","1.47","7.12","1.97","0.127","19","Storm"
"462","PWR",2008-07-08 22:00:00,"21.9","0.861",66,5.77,7.92,20,10.9,1.5,"9.14913",NA,NA,NA,NA,NA,NA,35.1,"nd","10.7","0.26",56.8,"nd","2.5","3.13","0.1","0.25","0.0221","90.9","4.5","nd",20.3,"0.0047","3.2",27.5,"7.3","0.331","25.7","0.293","0.0315","24","Storm"
"463","PWR",2008-07-09 10:00:00,"21.57","0.869",71.9,6.33,7.95,51,13.4,1.8,"2.74851",NA,NA,NA,NA,NA,NA,42.1,"0.084","6.5","0.22",80.6,"0.12","1.38","0.513","0.12","0.1","0.0809","22.4","86.5","0.0716",3.14,"0.015","2.96",9.93,"nd","0.0548","4.96","0.0485","0.00867","8.36","Storm"
"464","PWR",2008-07-09 11:30:00,"21.57","0.853",72.5,6.37,7.95,56,60.6,3.6,"276.01030",NA,NA,NA,NA,NA,NA,10.5,"nd","4.09","0.29",20.1,"nd","0.88","4.15","0.16","1.08","0.0453","64.4","23.3","1.06",11.8,"0.0158","8.01",27.7,"12.2","9.6","1710","10.8","2.87","111","Storm"
"465","PWR",2008-07-09 13:00:00,"21.68","0.828",75.9,6.66,7.99,54,29.7,2.3,"25.60455",NA,NA,NA,NA,NA,NA,25.9,"nd","4.54","0.23",24,"nd","0.98","0.973","0.1","0.17","0.0504","31.8","11.5","0.0041",4.45,"0.0056","2.48",20.5,"23.7","1.54","27.5","1.07","0.0503","58.9","Storm"
"466","PWR",2008-07-09 14:30:00,"21.86","0.85",82.6,7.23,8.08,54,33,3,"8.80196",NA,NA,NA,NA,NA,NA,25.7,"nd","4.02","0.23",25.5,"nd","0.86","0.842","0.09","0.15","0.035","35.1","10.6","nd",5.05,"0.0013","2.42",21.3,"5","1.12","14.6","0.769","0.0165","10.7","Storm"
"467","PWR",2008-11-12 21:00:00,"12.76","0.188",98.5,10.43,7.74,-132,18.9,7.6,"21.97112","51",12.6,NA,"12.1",NA,NA,27.2,"nd","4.21","0.35",21.4,"0.17","0.99","0.827","0.11","0.17","0.0265","20.4","8.1","0.0247",3.37,"0.0234","2.15",19.4,"9.6","0.274","2.76","0.339","0.0467","30","Storm"
"468","PWR",2008-11-13 01:30:00,"12.34","0.098",103.3,11.05,7.83,-128,15.6,4.8,"31.74603","31",3.9,NA,"5.6",NA,NA,6.96,"nd","1.63","0.19",7.53,"0.12","0.36","0.636","0.04","0.13","0.0207","9.14","4.9","0.0146",0.967,"0.0037","1.11",7.42,"5.1","0.723","8.8","0.821","0.0674","35","Storm"
"469","PWR",2008-11-13 06:00:00,"12.64","0.379",83.6,8.87,7.45,-109,10.1,3.7,"7.75194","100",5.6,NA,"5.3",NA,NA,32.1,"nd","4.01","0.26",28.9,"nd","0.92","0.329","0.07","0.1","nd","36.7","6.7","0.0192",6.42,"0.0131","2.35",37,"7.2","0.557","5.92","0.366","0.0185","8.93","Storm"
"470","PWR",2008-12-09 14:30:00,"8.47","1.745",101.1,11.78,7.87,210,59.1,10.6,"33.68177","68",7.8,5.745,"10",7.584,NA,540,"0.064","6.79","0.53",22.6,"0.17","1.6","1.28","0.2","0.31","0.0426","38.4","7.2","0.0634",4.46,"0.0248","2.9",313,"25.1","0.665","11.3","0.836","0.0619","40.3","Storm"
"471","PWR",2008-12-09 17:30:00,"8.9","1.476",100.2,11.56,7.92,209,704.8,7.1,"20.79820","73",9.4,6.02,"10",7.886,NA,397,"0.052","8.24","0.44",28.2,"0.12","1.86","0.957","0.16","0.23","0.0405","38.2","5.9","0.0598",4.61,"0.0216","2.61",231,"15.3","0.411","10.4","0.542","0.0355","36","Storm"
"472","PWR",2008-12-09 20:30:00,"9","1.509",98.7,11.36,7.9,208,1022.2,11.6,"9.40439","110",16.8,7.129,"9.5",17.83,NA,431,"0.069","11.7","0.5",28.2,"0.22","2.76","1.13","0.19","0.24","0.0488","70.3","6","0.0576",9.42,"0.0376","3.71",247,"14.5","0.353","8.34","0.404","0.0522","22.8","Storm"
"473","PWR",2008-12-10 04:00:00,"9.72","0.608",100.6,11.41,7.9,205,431,8.3,"42.26543","42",5.6,3.255,"8.9",4.691,NA,171,"0.03","3.02","0.2",14.7,"0.17","0.68","0.686","0.08","0.17","nd","16.2","6.7","0.0289",1.85,"0.0125","1.26",100,"9.2","0.572","18.9","0.764","0.0582","42","Storm"
"474","PWR",2009-02-11 07:00:00,"6.04","0.478",99.8,12.39,7.51,-83,21.4,22.9,"13.63636","120",8.4,7.961,"7.9",7.771,NA,60.5,"nd","11.1","0.6",44.5,"0.06","2.25","1.1","0.21","0.3","0.0601","60.3","3.1","0.0634",7.82,"0.0086","2.96",34,"14.4","1.14","3.42","0.934","0.0359","21.3","Storm"
"475","PWR",2009-02-11 13:00:00,"5.6","0.532",97.5,12.24,7.68,-85,11.7,4.8,"80.14797","110",7.3,6.501,"11.2",6.026,NA,77.2,"0.038","8.62","0.32",42.3,"0.06","1.95","1.45","0.1","0.29","0.0622","49","2.7","0.0645",6.63,"0.0124","2.27",42.5,"15.3","1.47","9.51","1.88","0.105","64.5","Storm"
"476","PWR",2009-02-11 17:30:00,"7.44","0.421",97.3,11.67,7.77,-93,169.9,14,"249.58124","79",6.2,5.976,"26.4",4.95,NA,41.4,"nd","5.24","0.27",24.3,"0.1","1.2","1.71","0.17","0.63","0.0397","32.1","18.1","0.0575",3.98,"0.0085","1.98",25.6,"16.1","3.19","21.4","4.42","0.175","142","Storm"
"477","PWR",2009-02-11 19:00:00,"6.14","0.463",96,11.89,7.68,-87,23.7,8.1,"27.72277","13",7.5,7.246,"8.3",6.974,NA,55.4,"0.032","12.1","0.5",47.1,"0.06","2.5","1","0.19","0.34","0.0513","63.7","2.4","0.048",8.67,"0.0191","2.69",29.5,"13.5","1.2","4.31","1.18","0.06","19.9","Storm"
"478","PWR",2009-02-11 22:00:00,"5.83","0.494",95.5,11.92,7.68,-87,16.6,6.5,"8.19193","140",6.7,7.069,"7",6.705,NA,58.3,"0.036","12.5","0.47",51.3,"0.05","2.55","0.798","0.15","0.22","0.0564","66.3","2","0.0496",9.33,"0.0256","2.51",28.9,"12.4","0.858","2.19","0.741","0.0489","13.9","Storm"
"479","PWR",2009-03-18 21:00:00,"9.28","0.811",12.64,0.174,8.33,-85,4.8,3.2,"did not sample",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Storm"
"480","PWR",2009-03-18 22:30:00,"12.69","0.218",11.97,0.222,8.46,-86,30.9,6.6,"did not sample",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Storm"
"481","PWR",2009-03-19 00:00:00,"11.6","0.342",12.13,0.206,8.31,-96,43.5,8.7,"did not sample",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Storm"
"482","PWR",2009-03-19 01:30:00,"10.76","0.633",12.22,0.187,8.31,-94,32.7,8.6,"did not sample",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Storm"
"483","PWR",2009-03-19 07:30:00,"10.28","0.701",12.1,0.179,8.38,-98,16.9,6.8,"did not sample",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Storm"
"484","PWR",2009-04-28 12:30:00,"15.8","0.471",8.88,0.164,7.94,84,36.6,20.1,"41.78758","110",17.2,21.12,"18.3",19.46,NA,44.8,"0.036","4.28","0.4",40.8,"0.31","0.84","2.42","0.18","0.34","0.0395","48.5","25.2","0.0324",7.64,"0.0175","3.56",29.7,"22.5","1.01","29.4","1.08","0.0981","34","Storm"
"485","PWR",2009-04-28 14:00:00,"14.96","0.729",8.66,0.16,7.9,81,19.1,7.2,"26.25182","190",8.2,8.951,"7.6",8.642,NA,72,"0.067","5.23","0.38",76.5,"nd","0.98","0.915","0.13","0.16","0.0345","91.7","5.8","0.0144",16.6,"0.0081","3.28",38.6,"21.1","0.809","7.42","0.693","0.0645","23.2","Storm"
"486","PWR",2009-04-28 17:00:00,"14.89","0.767",9,0.16,8,81,19.4,3.4,"23.14368","210",6.1,5.305,"4.4",5.242,NA,67.7,"0.076","3.96","0.34",84.9,"nd","0.76","0.643","0.15","0.15","0.0572","101","2.6","0.0103",19.2,"0.0044","3.24",33.2,"21.1","0.838","3.04","0.691","0.055","23.8","Storm"
"487","PWR",2009-04-28 18:30:00,"14.86","0.771",9.07,0.16,7.93,81,18.1,4.6,"17.93033","210",5,4.939,"4.2",4.797,NA,65.5,"0.075","4.06","0.34",86.2,"nd","0.75","0.65","0.12","0.4","0.0473","102","3","0.0075",19.4,"0.0048","3.23",32.8,"21.2","0.619","2.66","0.645","0.053","24.6","Storm"
"488","PWR",2009-04-28 21:30:00,"14.79","0.775",9.06,0.159,7.89,82,16.2,3.2,"16.19645","56",6.1,4.757,"4",4.73,NA,62.2,"0.076","4.7","0.38",87.2,"nd","0.88","0.666","0.13","0.15","0.0442","100","2.1","0.0105",19.4,"0.0073","3.19",32.5,"0.0198","0.546","2.73","0.591","0.0513","23.7","Storm"
"489","PWR",2009-05-26 16:00:00,"17.75","0.686",86.3,8.19,7.7,33,8.3,7.2,"11.25854","170",9.7,9.597,"8.8",9.814,NA,60.7,"0.063","8.06","0.38",62.6,"nd","1.65","0.874","0.12","0.16","0.0764","77.9","9.4","0.0318",14.6,"0.0076","3.31",34,"21.5","0.665","10.4","0.508","14.4","24.2","Storm"
"490","PWR",2009-05-26 20:30:00,"18.77","0.509",84.9,7.9,7.74,35,8.6,9.8,"9.58466","120",12.5,12.63,"12.8",12.65,NA,49.3,"0.036","6","0.33",40.3,"nd","1.23","1.04","0.1","0.17","0.0378","51.1","0.0124","0.0259",8.24,"0.0044","2.71",31.4,"17.5","0.521","14.3","0.482","0.0258","20.4","Storm"
"491","PWR",2009-05-26 22:30:00,"17.01","0.795",89.7,8.65,7.84,37,6.4,4.3,"13.07902","190",7.5,6.83,"6.6",6.172,NA,84.3,"0.069","6.26","0.39",70.6,"nd","1.27","0.634","0.12","0.15","0.0443","83.8","6.3","0.01",15.9,"0.0042","3.24",37.6,"20.5","0.575","10.3","0.443","0.0237","23.6","Storm"
"492","PWR",2009-05-26 04:00:00,"16.12","0.864",98,9.62,7.96,38,0.5,2.6,"18.45638","240",4.4,4.27,"3.9",3.517,NA,66,"0.092","7","0.4",89.8,"nd","1.39","0.461","0.12","0.15","0.054","106","4.2","0.007",21.9,"0.0034","3.3",25.3,"25.1","0.334","3.63","0.251","0.0159","25.7","Storm"
"493","PWR",2009-06-10 08:00:00,"18.73","0.358",98.1,8.76,7.99,100,154.1,24.5,"241.98251","120",51,49.32,"47.4",96.71,NA,64.6,"0.058","0.68","nd",25.5,"0.55","27.2","9.61","0.05","0.77","0.0499","48.8","31.2","0.0363",8.67,"0.295","5.46",40.7,"48.5","4.4","65.1","5.6","0.571","169","Storm"
"494","PWR",2009-06-10 09:30:00,"20.65","0.118",98,8.69,7.94,127,29.2,10.3,"40.55391","48",8.1,8.156,"7.5",7.756,NA,17.3,"nd","3.35","0.18",12.9,"0.13","29.4","1.48","0.07","0.15","nd","18.4","13.8","0.0183",1.98,"0.0022","1.39",12.8,"9.7","0.819","0.014","0.869","0.0871","26.2","Storm"
"495","PWR",2009-06-10 11:00:00,"21.24","0.143",95.9,8.65,7.92,142,88.5,9.5,"84.95575","44",4.4,3.894,"7.8",3.685,NA,11.1,"nd","2.34","0.24",9.2,"nd","nd","0.783","0.08","0.29","0.0484","15","5","0.0278",1.55,"0.00094","1.38",8.76,"7.1","3.79","13.8","3.23","0.16","26.7","Storm"
"496","PWR",2009-06-10 14:00:00,"21.26","0.192",99.3,8.57,7.99,144,33.5,12.8,"50.98684","110",6.7,6.249,"8.3",5.67,NA,47.8,"0.044","6.92","0.46",45.2,"nd","1.43","0.91","0.16","0.33","0.0467","65.3","11.2","0.0181",11,"0.0011","3.11",27.7,"18","2.43","20.3","2.15","0.114","25.9","Storm"
"497","PWR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"140",7.2,6.927,"7.2",6.447,NA,NA,"nd","2.84","0.41",30.7,"nd","0.7","0.739","0.14","0.23","nd","57.6","8.7","0.0206",8.46,"0.0017","2.79",28.2,"6.6","1.01","15.4","0.845","0.0454","9.21","Storm"
"498","PWR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"88",5,4.973,"6.8",4.305,NA,17.7,"nd","2.32","nd",20.8,"0.05","0.58","2.73","0.06","0.72","nd","36.7","6.5","0.0183",6.03,"0.002","2",12.9,"nd","4.32","29.3","5.45","0.422","90.3","Storm"
"499","REF 7",2005-06-21 10:11:00,"16.05","1.158",91.7,9.01,7.55,301,21.2,NA,"26.8","240",3,NA,"3",NA,NA,206,"0.13","0.55","0.46",69.7,"nd","0.31","0.2","0.15","0.18","nd","136","nd","0.0469",23.4,"0.0293","3.12",65.5,"nd","0.921","nd","0.658","0.0485","nd","Base"
"500","REF 7",2005-07-26 10:31:00,"23.3","0.995",82.4,7.01,7.52,233,22.2,NA,"15.6","240",8.8,NA,"14",NA,NA,141,"0.16","0.51","0.52",41.1,"nd","0.18","0.44","0.15","0.17","nd","112","nd","nd",19.6,"0.0373","3.37",55,"nd","0.813","nd","0.648","0.0614","nd","Base"
"501","REF 7",2005-08-16 09:55:00,"20.9","1.249",58.5,5.21,7.67,188,23.4,NA,"1.67","290",9.9,NA,"19",NA,NA,171,"0.22","0.19","0.54",52.7,"0.96","0.06","2.02","0.19","0.2","nd","132","nd","0.0335",23.8,"1.67","7.73",74.7,"nd","0.135","nd","0.172","1.71","nd","Base"
"502","REF 7",2005-09-22 11:09:00,"18.1","0.92",97.8,9.22,7.67,231,8.6,NA,"31.3","220",8.4,NA,"18",NA,NA,66.8,"0.08","0.62","0.41",40.5,"0.05","0.17","0.55","0.13","0.23","nd","89.5","1.98","0.0215",15.2,"0.3","2.47",28.9,"13","2.28","3.03","1.75","0.273","14.9","Base"
"503","REF 7",2005-10-31 10:06:00,"8.53","0.727",75.7,8.83,7.56,230,4.5,NA,"8.6","230",13,NA,"14",NA,NA,108,"0.07","0.06","0.52",52.3,"nd","0.01","0.14","0.14","0.14","0.0155","105","nd","nd",17.6,"0.00884","2.95",51.1,"nd","0.126","nd","0.0754","0.0104","nd","Base"
"504","REF 7",2006-02-09 09:09:00,"0.19","1.136",95.6,13.86,7.52,299,3.9,NA,"1.67","200",6.6,NA,"13",NA,NA,174,"0.05","1.28","0.24",68,"nd","0.3","0.17","0.07","0.15","nd","122","3.42","nd",21.4,"0.00215","1.62",70.8,"12.2","0.108","1.92","0.096","0.00696","11","Base"
"505","REF 7",2006-03-20 10:21:00,"4.07","0.973",100,13.04,7.61,271,15.4,NA,"12.9","200",9.6,NA,"10.7",NA,NA,134,"0.05","1.53","0.31",68.4,"0.25","0.36","0.27","0.06","0.1","nd","114","1.93","0.016",20.6,"0.00233","1.78",49.7,"13.4","0.433","2.53","0.556","0.023","21.9","Base"
"506","REF 7",2006-05-09 10:45:00,"12.67","1.319",77.7,8.21,7.81,286,14,NA,"9.3","220",17.4,NA,"19.4",NA,NA,209,"0.08","0.95","0.34",87.9,"nd","0.22","0.25","0.16","0.18","nd","143","nd","nd",26.7,"0.0162","2.24",68.4,"15.4","0.255","2.27","0.276","0.0283","17.4","Base"
"507","REF 7",2006-06-06 09:43:00,"14.77","1.13",87.8,8.87,7.68,135,14.5,NA,"15.2","240",9.4,NA,"10.9",NA,NA,204,"0.09","0.68","0.42",65.6,"nd","0.14","0.2","0.13","0.17","0.0372","124","1.69","0.03",22.3,"0.0281","2.56",65,"13.4","0.794","1.73","0.591","0.0477","15.5","Base"
"508","REF 7",2006-07-10 10:31:00,"18.18","1.515",67.1,6.3,7.63,209,17,NA,"11.8","300",5.1,NA,"5.2",NA,NA,280,"0.41","1.21","0.48",55.1,"nd","0.28","0.46","0.16","0.23","nd","167","1.95","nd",32.3,"0.232","4.04",119,"17.3","0.517","1.45","0.419","0.219","51.3","Base"
"509","REF 7",2006-08-08 10:31:00,"21.8","1.085",52.3,4.57,7.93,239,4.2,NA,"5","270",8.7,NA,"18.1",NA,NA,149,"0.42","0.62","0.63",30.5,"nd","0.01","1.22","0.26","0.26","nd","114","nd","0.0184",19.7,"0.681","3.72",66.9,"19.9","0.268","nd","0.251","0.478","18","Base"
"510","REF 7",2006-09-05 10:38:00,"17.13","0.866",81.6,7.84,7.74,188,5.3,NA,"nd","210",19.8,NA,"19.5",NA,NA,112,"0.05","0.28","0.39",62.5,"nd","0.06","0.49","0.13","0.12","nd","99.1","nd","nd",16.8,"0.0146","3.05",48.4,"28.9","0.226","nd","0.174","0.0211","27.9","Base"
"511","REF 7",2006-10-16 10:00:00,"9.84","0.865",93.7,10.14,7.85,335.8,7.3,NA,"6.1","220",11.1,NA,"13.7",NA,NA,121,"0.05","0.12","0.43",50.8,"nd","0.03","0.284","0.17","0.17","nd","96.1","nd","nd",16.5,"0.0131","2.93",44.5,"51.5","0.372","nd","0.23","0.0193","45.5","Base"
"512","REF 7",2006-11-13 09:30:00,"7.2","0.884",93.2,11.2,7.94,350,5.9,NA,"9.07","220",15.5,NA,"17.6",NA,NA,120,"0.19","0.09","0.39",54.7,"nd","0.47","0.141","0.17","0.16","nd","102","nd","nd",17.6,"0.00374","2.74",43.1,"62","0.445","nd","0.475","0.0251","60.5","Base"
"513","REF 7",2006-12-05 09:45:00,"0.81","0.62",100.2,NA,8.05,344,19.5,NA,"2.58","210",15.4,NA,"17.1",NA,NA,124,"0.16","1.52","0.38",60.4,"nd","0.35","0.27","0.12","0.14","nd","108","nd","0.0235",18.5,"0.00299","2.14",41.9,"60","0.205","nd","0.213","0.00995","62.2","Base"
"514","REF 7",2007-01-10 09:15:00,"2.04","0.793",103,14.1,7.82,365,11.5,NA,"18.79","200",16.3,NA,"16.9",NA,NA,100,"0.04","2.13","0.35",56.1,"nd","0.46","0.154","0.09","0.11","nd","98.2","nd","0.0195",15.8,"0.00272","1.62",33.6,"51","0.478","nd","0.423","0.0166","51.1","Base"
"515","REF 7",2007-03-08 10:23:00,"0.29","1.157",101.5,14.67,7.85,308.3,0,NA,"nd","200",17.4,NA,"18",NA,NA,192,"0.06","2.5","0.32",75.3,"0.08","0.58","nd","0.11","0.12","nd","120","nd","nd",19.9,"0.000805","1.81",69.6,"29.3","0.122","1.42","0.0976","0.00459","23.4","Base"
"516","REF 7",2007-04-10 08:24:00,"4.54","1.151",103.3,13.29,7.93,183.8,8,NA,"2.78","240",22.1,NA,"23",NA,NA,195,"0.07","0.72","0.26",87.4,"nd","0.15","nd","0.09","0.1","nd","129","nd","nd",23.5,"0.00309","1.57",58.2,"42.4","0.145","nd","0.105","0.00723","49.6","Base"
"517","REF 7",2007-05-09 09:35:00,"14.37","1.372",91.7,9.32,8.76,277,13,NA,"42.25","250",24.5,NA,"25.2",NA,NA,229,"0.09","1.11","0.36",95.1,"nd","0.26","nd","0.12","0.15","0.0517","166","nd","nd",30.1,"0.0128","2.3",73.2,"49.7","0.724","nd","0.493","0.0282","49.5","Base"
"518","REF 7",2007-06-13 10:00:00,"16.43","1.541",77,7.5,7.64,211,15,NA,"21.32","280",20.4,NA,"21.2",NA,NA,279,"0.19","0.45","0.43",73.8,"nd","0.09","0.436","0.14","0.2","0.0421","161","nd","nd",30.8,"0.201","3.42",98.7,"15.6","0.907","nd","0.781","0.231","24.1","Base"
"519","REF 7",2007-07-18 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,"-2.12089","260",18.8,NA,"15.3",NA,NA,175,"0.13","0.27","0.36",46.3,"0.1","0.04","nd","0.14","0.15","nd","122","nd","nd",22.4,"0.0196","3.31",70,"13.7","0.201","1.66","0.198","0.0403","13.5","Base"
"520","REF 7",2007-08-01 12:19:00,"19.53","1.352",67.5,6.1,7.87,254.6,28.7,NA,"10.85209","280",10.9,NA,"17.2",NA,NA,232,"0.16","0.8","0.52",45,"0.07","0.18","0.369","0.2","0.22","nd","131","2.1","23.8",23.8,"0.2","3.71",92.8,"16","0.157","1.87","0.123","0.179","15.6","Base"
"521","REF 7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Base"
"522","REF 7",2007-11-05 10:28:00,"9.27","0.949",81.4,9.32,7.33,-181.3,0.8,NA,"14.09018","190",15.2,NA,"16.2",NA,NA,119,"0.018","0.33","0.4",108,"nd","0.09","nd","nd","0.07","nd","105","3.53","nd",18.2,"0.0015","2.74",48.6,"40.4","0.129","3.73","0.13","7.61","40.8","Base"
"523","REF 7",2008-02-11 11:18:00,"-0.02","0.869",86.1,12.51,8.62,171,2.9,NA,"2.370605","160",3.9,NA,"3.3",NA,NA,161,"0.041","10.7","0.35",55.7,"nd","2.47","0.4","0.12","0.12","0.0333","94.9","2.2","0.0281",15.4,"0.0011","1.94",68.2,"22.9","0.139","2.79","0.108","0.00306","24.3","Base"
"524","REF 7",2008-03-25 09:30:00,"3.63","0.678",109,14.3,7.71,-190,8.6,NA,"3.811944","150",3.1,NA,"3.4",NA,NA,96.8,"nd","2.43","0.28",38.2,"nd","0.52","0.15","0.12","0.16","nd","72","2.8","nd",11.4,"5e-04","1.38",41.6,"10.9","0.37","2.19","0.36","0.00947","8.9","Base"
"525","REF 7",2008-04-16 10:05:00,"7.42","0.69",109,13.04,7.98,-154.1,4.4,NA,"3.938558","200",2.8,NA,"2.5",NA,NA,163,"0.048","0.13","0.21",67.9,"nd","0.037","nd","0.1","0.098","0.054","116","1.7","nd",19.2,"0.0011","1.58",55.1,"6","0.154","nd","0.118","0.00462","7.1","Base"
"526","REF 7",2008-06-09 09:30:00,"20.25","0.926",87.5,7.91,7.39,-42.1,14.2,NA,"65.38139","220",3.4,NA,"3.4",NA,NA,151,"0.063","1.07","0.37",60,"nd","0.23","0.139","0.16","0.27","0.0344","110","85.7","0.0295",18.3,"0.0166","3.11",59.5,"127","0.81","1.2","1.01","0.0549","20","Base"
