site_id,sampling_date,time,flow_cond,temp,sp_cond,do_sat,do,ph,orp,turb,chlor,ssc,alk,doc_r5,doc_awberc,toc_r5,toc_awberc,f,cl,br,no3,o_po4,so4,nh3_n,din,tkn,tdp,tp,al_diss,ca,cu_diss,fe_diss,mg,mn_diss,k,na,zn_diss,al_tr,cu_tr,fe_tr,mn_tr,zn_tr
CON,8/12/08,14:58,base,19.18,0.74,73.6,6.75,7.77,321.9,9.3,,8.16,180,3.4,,3.7,,,89.4,0.06,0.8,0.63,44.3,nd,0.16,0.22,0.21,0.25,nd,72.9,2.8,0.02,12,0.02,3.89,56.9,nd,0.45,3.37,0.43,0.03,nd
CON,9/17/08,12:31,base,17.84,0.82,73.6,6.97,7.71,-11.2,13.3,,60.94,200,3.3,,3.8,,,,,,,,nd,0.22,0.35,0.26,0.32,nd,77.7,2.5,0.02,13.4,0.04,4.34,69.8,24,0.55,3,0.75,0.07,14.9
CON,10/15/08,10:28,base,15.9,0.95,46.1,4.49,6.48,374.4,8.4,,20.11,190,3.6,,3.7,,,138,0.09,0.25,0.72,69.9,nd,0.05,0.14,0.29,0.29,nd,81.7,2.5,0.04,14.5,0.11,4.94,81.5,6.8,0.29,2.9,0.36,0.15,10.8
CON,12/9/08,11:00,base,1.31,1.2,93.1,13.07,7.7,281,2.3,,3.3,160,4,3.3,4.3,3.64,,218,0.09,4.99,0.51,81,0.48,1.2,0.54,0.2,0.21,nd,90.3,3.4,0.01,17.9,0,4.77,105,11.5,0.09,15.7,0.09,0.01,12.3
CON,1/26/09,13:14,base,-0.08,0.7,105.5,15.42,7.57,-32.1,-1.1,,3.22,190,3,3.05,3.2,3.31,,265,0.11,4.2,0.39,98.2,nd,0.88,0.21,0.14,0.24,nd,97.7,4.1,0.01,20,0,3.91,143,17.2,0.06,4.09,0.07,0,16
CON,2/24/09,8:44,base,-0.16,1.83,101.5,14.76,13.9,195,-0.1,,1.96,190,3.2,3.91,2.9,3.69,,404,0.1,3.06,0.31,91.7,nd,375,nd,0.3,0.12,nd,107,2.7,nd,19.5,0,3.79,218,19.7,0.1,2.9,0.12,0.01,23.5
CON,3/17/09,14:35,base,12.18,1.25,124.8,13.32,9.88,268.8,1.9,,2.03,230,3.4,4.18,3.3,3.95,,217,0.08,0.44,0.31,92.4,,0.09,,,,nd,89.3,1.8,0.01,16.9,0,3.59,120,18.6,0.07,2.84,0.1,0.01,28
CON,4/27/09,11:43,base,17.74,0.89,108.5,10.29,8.1,309.2,10.1,,13.87,230,3.7,3.98,3.4,3.55,,130,0.06,1.97,0.46,80.7,nd,0.45,0.59,0.15,0.17,nd,92.8,1.8,0.01,16.6,0,3.01,64.2,18.4,0.64,2.27,0.66,18.9,20.1
CON,5/21/09,14:32,base,16.89,0.53,89.7,8.53,7.19,127.7,10.8,,17.04,240,3,3.1,3.6,3.4,,121,0.07,2.71,0.55,77.4,nd,0.54,0.53,0.16,0.22,nd,115,2.5,0.01,19.2,0,3.61,76.7,nd,0.46,3.82,0.46,0.02,nd
CON,6/9/09,11:19,base,19.14,1,58,5.36,7.95,154.5,9.2,,16.31,230,5.3,3.95,5.2,3.69,,124,0.09,1.62,0.66,63.1,nd,0.46,0.56,0.19,0.24,0.04,94.6,nd,0.02,17.3,0,4.16,79.9,19,0.55,nd,0.54,0.03,20.6
CON,7/16/09,8:06,base,19.67,0.91,,5.01,7.71,182,5.3,2.5,10.65,220,3.1,3.67,3.4,3.58,,112,nd,0.43,0.46,54.4,nd,0.09,0.41,0.21,0.25,0.06,85,2.4,0.05,15.6,0.01,3.96,61.9,19.5,0.41,1.99,0.34,0.03,21.4
CON,9/14/09,11:46,base,16.74,0.95,67.1,6.5,7.82,168,12.4,,13.49,210,3.5,3.86,3.7,3.93,,114,nd,0.74,0.5,62.4,nd,0.19,0.7,0.33,0.25,nd,91,4.2,0.01,15.6,0.01,4.53,75.3,7.1,0.2,3.85,0.3,0.03,8.18
CON,10/6/09,10:46,base,12,0.89,76.5,8.19,9.05,50.1,12.9,,21.05,220,4,3.74,4.3,3.84,,93.7,nd,0.96,nd,62,nd,0.22,0.62,0.21,0.25,nd,91.2,3.3,0.01,15.6,0,4.34,67,0.01,0.37,3.87,0.55,0.03,10.8
CON,12/7/09,,base,1.79,1.14,105.5,14.63,8.22,81.5,1.1,2.2,-4.84,270,,3.79,,3.7,0.28,113,nd,0.95,0.39,82.2,n,0.26,,0.16,0.15,0.06,119,2,0.01,22,0,3.7,58.1,24.6,0.12,nd,0.09,0.01,nd
CON,2/1/10,13:26,base,0.14,1.51,108.4,15.7,8.16,68,0.1,0,0,270,2.6,,2.5,,,198,nd,3.09,nd,96.1,nd,0.74,0.57,0.07,0.08,0.06,127,2.6,0.01,21.8,0,2.9,97.3,33.7,0.11,1.72,0.08,0.01,36
CON,3/17/10,12:50,base,8.67,1.08,125.2,14.54,8.14,81,6.1,,8.47,260,3.8,3.36,3.6,3.17,,143,n,1.59,nd,76.5,n,0.41,0.81,0.09,0.11,0.05,106,2,0.01,17.7,0.01,2.86,83.4,36.3,0.21,2.56,0.18,0.01,35
CON,4/1/10,9:58,base,9.48,1.03,105.2,11.99,8.12,20.6,4.1,,12.54,290,,3.28,,3.14,,127,n,0.6,nd,82.5,n,0.14,0.66,0.09,0.14,0.04,114,nd,nd,20.3,0,2.53,69.5,33.5,0.14,nd,0.12,0.01,35.2
CON,5/25/10,8:55,base,18.12,1.05,82.2,7.74,7.87,155,22.9,3.4,24.64,260,,3.7,,3.75,,119,nd,1.88,0.5,77.2,n,0.47,0.73,0.15,0.26,,,,,,,,,,,,,,
CON,7/6/10,9:10,base,21.14,1.04,68.6,6.08,7.73,277.9,7.9,,10.51,260,,63.02,,62.96,,,,,,,nd,0.32,0.63,0.2,0.28,0.03,103,3.3,0.02,17.3,0,4.5,60.3,nd,0.39,3.9,0.32,0.02,nd
CON,8/4/10,11:55,base,24.29,1.01,46,3.86,7.65,163.9,-3.4,,1.97,260,,3.76,,3.7,,,,,,,,,,,,0.04,95.5,2.7,0.01,15.9,0.14,4.53,67.9,nd,0.08,1.77,0.07,0.14,nd
CON,7/12/05,21:00,storm,,,,,,,,,13.6,230,3.8,,5.2,,,120,0.14,0.58,0.58,68,nd,0.15,0.34,0.18,0.2,nd,97.4,nd,0.02,17,0.04,4.25,65.3,nd,0.3,nd,0.47,0.06,nd
CON,7/13/05,0:00,storm,,,,,,,,,6.5,230,4.3,,5.7,,,120,0.14,0.58,0.7,67.8,nd,0.16,0.34,0.19,0.2,nd,98.8,nd,nd,17.5,0.04,4.44,65,nd,0.44,nd,0.67,0.07,nd
CON,7/13/05,2:00,storm,,,,,,,,,63.2,210,4.9,,7.5,,,111,0.12,1.23,0.61,63.2,nd,0.3,0.82,0.18,0.28,nd,91.4,nd,nd,16.3,0.03,4.47,60.5,nd,1.53,nd,2.22,0.13,nd
CON,7/13/05,3:00,storm,,,,,,,,,372,160,8,,10,,,75.1,0.09,2.88,0.74,52.5,0.07,0.6,2.11,0.19,1.4,nd,77.8,nd,0.04,14.9,0,5.83,44.2,nd,7.04,13.2,11.3,0.67,55.8
CON,7/13/05,4:00,storm,,,,,,,,,178,120,8.9,,9,,,66.2,nd,3.4,0.73,33.8,nd,0.75,1.83,0.19,1.18,nd,51.3,nd,0.04,9.01,0,4.89,39.8,nd,4.25,9.4,6.16,0.3,nd
CON,7/13/05,6:00,storm,,,,,,,,,190,120,8.5,,8.6,,,71.5,0.07,3.17,0.61,31.3,nd,0.71,1.38,0.26,0.71,nd,51.5,nd,0.12,8.74,0.01,4.43,42.8,nd,3.11,7.12,4.42,0.19,nd
CON,7/13/05,8:00,storm,,,,,,,,,78.6,130,8.2,,8.3,,,69.5,nd,3.26,0.63,32.4,nd,0.73,1.02,0.17,0.57,nd,51.4,nd,0.05,8.66,0,4.05,42.7,nd,2.46,6.23,3.27,0.12,nd
CON,7/13/05,10:00,storm,,,,,,,,,55,140,8.1,,8.8,,,75.2,0.07,3.07,0.59,33.2,nd,0.71,0.91,0.2,0.5,nd,54.9,nd,0.04,9.2,0,4.02,45.4,nd,1.97,5.44,2.6,0.1,nd
CON,8/29/05,20:00,storm,,,,,,,,,nd,220,6.2,,8.5,,,107,0.12,0.32,0.67,54.8,0.07,0.1,0.25,0.2,0.22,nd,91.2,2.22,0.02,15.5,0.09,4.46,71.1,11.7,0.16,3.25,0.27,0.11,12.6
CON,8/30/05,2:00,storm,,,,,,,,,7.1,220,6.8,,8.5,,,106,0.11,0.96,0.67,57.2,nd,0.26,0.19,0.2,0.22,nd,89.1,2.52,nd,15.5,0.06,4.42,70,12.7,0.23,3.38,0.38,0.08,14.7
CON,8/30/05,8:00,storm,,,,,,,,,56.1,210,7.7,,7.8,,,101,0.1,1.11,0.68,51.8,nd,0.3,0.47,0.21,0.36,nd,82.7,2.89,nd,14.1,0.06,4.26,65.2,8.69,1.39,4.42,2.09,0.15,18
CON,8/30/05,11:00,storm,21.04,0.85,91.5,8.13,7.42,227,51.5,,520,98,6.3,,14,,,45.9,0.02,3.62,0.81,26.9,0.07,0.74,2.28,0.29,2.09,0.02,34,3.4,0.09,5.25,0.01,4.55,33.8,6.11,11.8,19.6,19.8,0.94,81.6
CON,8/30/05,13:00,storm,,,,,,,,,66.7,84,5.8,,7.2,,,35.7,0.02,3.62,0.63,19.1,0.05,0.78,1.34,0.19,0.9,nd,30.9,3.03,0.02,4.33,0,3.24,26.7,5.87,5.97,9.83,8.56,0.32,44.7
CON,8/30/05,15:00,storm,,,,,,,,,267,77,5.9,,6.8,,,31.4,0.02,4.26,0.69,20.1,0.11,0.92,1.59,0.21,1.14,nd,29.1,3.24,0.02,3.98,0,3.19,22.7,6.48,7.24,11.4,11.1,0.41,48.2
CON,8/30/05,18:00,storm,,,,,,,,,nd,86,6.4,,24,,,30.7,0.02,6.53,0.7,22.3,nd,1.47,1.4,0.74,0.75,nd,35.3,3.84,0.03,4.66,0,3.44,20.8,9.32,4.82,8.74,6.5,0.22,33.2
CON,8/30/05,20:00,storm,,,,,,,,,122,94,7,,8.3,,,37.9,0.02,6.6,0.67,25.3,nd,1.53,1.34,0.19,0.61,nd,40.6,3.78,0.03,5.47,0,3.39,23.1,8.22,3.91,7.71,5.24,0.19,28.6
CON,8/30/05,22:00,storm,,,,,,,,,198,120,6.4,,7.6,,,44.7,0.03,7.1,0.69,27.9,0.06,1.52,2.66,0.21,0.48,0.07,48.3,4.08,0.1,6.71,0,3.78,27,7.38,2.31,6.43,3.15,0.12,21.9
CON,8/31/05,0:00,storm,,,,,,,,,46,130,6.4,,7.9,,,48.8,0.04,6.55,0.64,31.5,nd,1.44,0.82,0.18,0.35,nd,52.5,3.81,0.03,7.42,0,3.49,30.6,7.86,1.8,5.39,2.36,0.09,17.5
CON,4/18/06,11:45,storm,12.99,0.74,118,12.38,8.3,129,13,,15.1,230,7,,8.5,,,64.5,0.04,1.56,0.43,61.3,nd,0.36,0.35,0.15,0.26,nd,96.4,3.7,nd,15.2,0,2.24,37.7,9.26,0.63,3.92,0.56,0.03,11
CON,9/6/06,0:30,storm,17.61,0.73,60.9,5.8,7.48,-8,148.8,,212,180,15,,18.9,,,86.8,0.1,1.1,0.85,57.5,0.23,0.28,2.08,0.3,0.87,nd,72.7,1.89,nd,12.6,0.04,4.61,47.6,31.8,7.89,8.74,7.78,0.36,64.6
CON,9/6/06,2:30,storm,18.05,0.54,91.4,8.63,7.78,-10,166.7,,159,140,13,,16.6,,,62.3,0.06,2.96,0.72,42.2,nd,0.65,0.38,0.26,0.7,nd,52.7,2.82,nd,8.66,0,4.41,39.4,32.1,9.36,1.01,7.62,0.3,58.1
CON,9/6/06,4:30,storm,17.68,0.6,87.9,8.36,7.72,-7,55.4,,44.1,130,12,,14.2,,,86.7,nd,3.13,0.65,42.6,nd,0.7,0.42,0.21,0.35,nd,53.6,nd,1.81,8.55,0,4.11,49,26.8,2.99,3.44,2.46,0.1,33.2
CON,9/6/06,6:30,storm,17.33,0.6,86.4,8.28,7.69,-4,36.3,,36.3,130,12.2,,13.9,,,92.4,nd,2.97,0.59,40.9,nd,0.62,0.16,0.2,0.3,nd,54.1,nd,0.02,8.64,0,3.9,47.9,23.4,1.94,2.88,1.73,0.07,41.9
CON,9/6/06,8:30,storm,17.16,0.63,85.1,8.18,7.7,-4,26.3,,26.8,140,12.5,,16,,,88.5,nd,2.48,0.6,42.6,nd,0.52,0.37,0.2,0.28,nd,59.1,nd,0.02,9.42,0,4.02,48.6,28.1,1.43,2.3,1.35,0.05,32.3
CON,9/6/06,10:30,storm,17.22,0.65,82.9,7.97,7.69,-17,21.9,,24.1,150,13,,15.9,,,90.2,nd,2.26,0.58,50.2,nd,0.48,0.28,0.2,0.27,nd,60.9,nd,0.02,9.88,0,3.79,47.8,23.8,1.18,2.02,1.15,0.04,31.9
CON,9/6/06,11:30,storm,17.41,0.66,84.3,8.07,7.69,-19,20.6,,21.8,150,13.8,,16.1,,,89.9,nd,2.16,0.6,44.6,nd,0.46,nd,0.21,0.24,nd,62.8,nd,0.02,11.2,0,3.93,48.8,25.6,1,1.56,1.05,0.04,28.9
CON,9/12/06,6:32,storm,19.26,0.76,61.6,5.68,7.59,183,95.6,,369,170,10.4,,14.1,,,91.4,0.05,1.99,0.89,48.8,nd,0.49,1.48,0.31,1.37,nd,67.9,nd,0.05,11.7,0.01,5.1,51.5,28,9.23,12.5,12.3,0.63,80.6
CON,9/12/06,8:35,storm,19.79,0.49,92.3,8.42,7.91,180,192.3,,276,120,14,,16,,,45,0.03,3.9,0.74,33.8,nd,0.95,1.45,0.3,1.24,0.04,43.8,1.94,0.05,7.08,0,5.67,28.2,20.2,9.82,12.8,12.3,0.53,67.9
CON,9/12/06,12:35,storm,19.93,0.38,96.5,8.78,7.91,181,737,,804,83,12.9,,15.9,,,42.2,1.98,3.95,0.7,20.7,0.14,0.85,3.28,0.26,3.13,0.09,28.7,nd,0.11,3.92,0,3.69,26.3,13.8,18.4,27.5,29.9,1.41,132
CON,9/12/06,14:35,storm,19.84,0.36,96.1,8.76,7.95,199,132.2,,119,90,15.5,,12.7,,,36,0.28,7,0.74,24.4,0.11,1.49,1.29,0.25,0.68,0.08,37.6,1.94,0.1,5.06,0,4.02,22,18.3,6.33,6.88,5.55,0.23,42.6
CON,9/12/06,20:35,storm,19.61,0.49,92,8.42,8.03,198,41,,35.8,140,16.5,,15.7,,,52.4,0.34,6.55,0.58,35.2,0.11,1.68,1.03,0.22,0.36,nd,57.6,nd,0.04,8.58,0,4.18,31.1,21.3,1.61,2.14,1.77,0.08,29.5
CON,9/13/06,2:35,storm,19.07,0.53,93.8,8.67,8.07,211,57,,139,170,10.9,,16.5,,,50.6,0.02,6.88,0.62,41.2,nd,1.69,1.26,0.22,0.7,nd,66.9,nd,0.02,10.2,0,4.42,29,24.3,4.38,5.99,5.48,0.24,47.1
CON,2/20/07,9:45,storm,-0.28,4.43,105,15.2,7.52,373,8.2,,8.66,180,10.6,,17.5,,,1320,0.25,5.25,0.51,78.1,0.46,1.23,1,0.19,0.23,nd,155,5.53,0.02,23.4,0.02,6.53,645,42.2,0.49,6.1,0.37,0.03,42.9
CON,3/1/07,9:00,storm,3.29,1.52,108,14.4,7.83,356,18.7,,,nd,5.3,,7.5,,,304,0.07,4.73,0.41,67.4,nd,1.07,0.43,0.15,0.22,nd,99.5,1.54,nd,15.1,0.01,3.17,160,32.3,1.12,2.37,0.81,0.03,34.4
CON,3/1/07,10:40,storm,3.69,1.45,99.6,13.1,7.93,329,25.8,,,16,12.9,,15.9,,,304,0.07,4.61,0.49,63.5,0.09,1.03,0.59,0.2,0.27,0.39,96.4,2.23,0.33,14.8,0.02,3.52,154,35.2,1.35,2.88,0.98,0.03,36.5
CON,3/1/07,14:50,storm,4.92,1.17,101,12.87,7.96,306,25,,,22,13.9,,17.3,,,233,0.05,4.46,0.44,50.9,nd,0.96,0.58,0.15,0.24,0.11,78.6,1.95,0.13,11.6,0.01,2.74,120,25.8,1.64,2.56,1.18,0.03,27.6
CON,3/15/07,10:09,storm,,,,,,,,,,200,16.9,,16.9,,,303,0.08,3.85,0.47,78.9,nd,0.87,0.57,0.14,0.27,0.07,105,3.31,0.12,16.6,0.01,3.97,161,37.3,2,4.43,1.86,0.07,47.1
CON,3/15/07,12:09,storm,,,,,,,,,,190,15.2,,12.3,,,312,0.08,3.87,0.47,72.6,nd,0.87,0.7,0.14,0.32,nd,98.4,2.2,0.03,16.1,0.01,3.75,161,35.6,2.96,4.56,2.58,0.09,48.7
CON,3/15/07,14:09,storm,,,,,,,,,,170,14.9,,15.2,,,282,0.08,3.84,0.41,65.2,nd,0.85,0.57,,0.28,0.08,89.8,3.12,0.09,14.5,0.01,3.02,141,27.7,3.27,4.64,2.28,0.07,37.7
CON,4/3/07,17:00,storm,18.11,0.94,92.7,8.73,8.21,252,6.7,2.1,,260,16.2,,13.5,,,175,0.08,0.71,0.37,99.8,nd,0.23,0.25,0.11,0.21,0.05,115,1.84,nd,19.8,0,2.9,77.2,35.3,0.39,nd,0.41,0.02,44.3
CON,4/3/07,19:00,storm,17.22,0.88,87.3,8.38,8.08,248,33.2,2.9,,240,16.3,,19.9,,,160,0.07,1.2,0.37,88.6,0.07,0.23,0.47,0.11,0.21,nd,106,1.97,0.02,18.1,0,2.71,71.1,29.5,1.42,nd,1.58,0.07,38.5
CON,4/3/07,20:00,storm,15.97,0.47,97.9,9.65,8,238,487.5,17.9,,130,15.2,,18.2,,,84.1,0.04,2.4,0.6,42.3,0.14,0.53,3.15,0.19,2.23,nd,51.1,3.25,0.04,8.25,0.01,2.7,42.1,19.1,15.2,23,21.5,0.99,118
CON,4/3/07,21:00,storm,15.33,0.5,99.3,9.93,7.91,247,467.1,25,,110,16.8,,19.2,,,71.7,0.03,2.51,0.59,30.3,0.15,0.58,3.16,0.18,2.05,0.06,42.3,3.48,0.08,6.27,0,2.55,36.8,16.4,15.6,18.8,20.9,0.75,92.9
